locality,property_type,area_sqft,bedrooms,bathrooms,balconies,age_years,floor,total_floors,parking,furnishing,facing,gym,swimming_pool,security,power_backup,lift,price
Puppalaguda,Apartment,3510,4,3,2,0,7,15,1,Fully Furnished,West,1,1,1,1,1,38600000
Puppalaguda,Apartment,1925,3,2,2,0,2,7,1,Fully Furnished,South,1,1,1,1,1,19000000
Puppalaguda,Apartment,1725,3,2,2,0,14,24,1,Fully Furnished,East,1,1,1,1,1,17200000
Kokapet,Apartment,4540,4,3,2,0,5,12,1,Fully Furnished,West,1,1,1,1,1,37400000
Manikonda,Apartment,4410,4,3,2,0,13,15,1,Fully Furnished,East,1,1,1,1,1,41400000
Manikonda,Apartment,2565,3,2,2,0,2,12,1,Fully Furnished,West,1,1,1,1,1,24100000
Manikonda,Apartment,3360,3,2,2,0,9,24,1,Fully Furnished,North,1,1,1,1,1,31500000
Manikonda,Apartment,3010,3,2,2,0,12,15,1,Fully Furnished,North-West,1,1,1,1,1,28200000
Narsingi,Apartment,1550,3,2,2,4,6,20,1,Fully Furnished,East,1,1,1,1,1,10000000
Narsingi,Apartment,1555,3,2,2,4,5,7,1,Fully Furnished,South,1,1,1,1,1,10000000
Aminpur,Apartment,1250,2,1,2,0,9,10,1,Semi-Furnished,West,0,0,1,1,1,6000000
Chandanagar,Apartment,1815,3,2,2,0,2,20,1,Fully Furnished,North,1,1,1,1,1,12100000
Hyder Nagar,Apartment,1548,3,2,2,0,5,7,1,Fully Furnished,North-East,1,1,1,1,1,12200000
Chandanagar,Apartment,2020,3,2,2,0,8,10,1,Fully Furnished,North-East,1,1,1,1,1,13500000
Kukatpally,Apartment,1382,2,1,2,0,1,12,1,Fully Furnished,South,1,1,1,1,1,10500000
Bowenpally,Apartment,875,1,1,1,0,17,20,1,Semi-Furnished,North,0,0,1,1,1,5475000
Old Bowenpally,Apartment,1800,3,2,2,0,13,20,1,Fully Furnished,South,1,1,1,1,1,10900000
Nizampet,Apartment,1375,3,2,2,4,6,15,1,Semi-Furnished,North,1,0,1,1,1,6875000
Nizampet,Apartment,1185,2,1,2,4,3,15,1,Semi-Furnished,North-East,0,0,1,1,1,5925000
Nizampet,Apartment,1120,2,1,2,4,6,15,1,Semi-Furnished,West,1,0,1,1,1,5600000
Nizampet,Apartment,1050,2,1,2,4,10,15,1,Semi-Furnished,North-West,1,0,1,1,1,5250000
Nizampet,Apartment,1420,3,2,2,4,7,20,1,Semi-Furnished,North-East,1,0,1,1,1,7100000
Nizampet,Apartment,1015,2,1,2,4,2,12,1,Semi-Furnished,South,1,0,1,1,1,5075000
Peerzadiguda,Apartment,1370,3,2,2,0,10,12,1,Semi-Furnished,East,0,0,1,1,1,6611000
Peerzadiguda,Apartment,1110,2,1,2,0,8,15,1,Semi-Furnished,East,0,0,1,1,1,5356000
Peerzadiguda,Apartment,1175,2,1,2,0,1,7,1,Semi-Furnished,North-East,0,0,1,1,1,5670000
Peerzadiguda,Apartment,1375,3,2,2,0,3,15,1,Semi-Furnished,East,0,0,1,1,1,6634999
Peerzadiguda,Apartment,1385,3,2,2,0,9,12,1,Semi-Furnished,North-East,1,0,1,1,1,6684000
Peerzadiguda,Apartment,1249,2,1,2,0,1,12,1,Semi-Furnished,North,1,0,1,1,1,6027000
Peerzadiguda,Apartment,1360,3,2,2,0,1,7,1,Semi-Furnished,West,1,0,1,1,1,6563000
Peerzadiguda,Apartment,1339,3,2,2,0,6,10,1,Semi-Furnished,North-East,0,0,1,1,1,6462000
Peerzadiguda,Apartment,1407,3,2,2,0,13,20,1,Semi-Furnished,North,1,0,1,1,1,6790000
Peerzadiguda,Apartment,1218,2,1,2,0,15,24,1,Semi-Furnished,North,0,0,1,1,1,5878000
Peerzadiguda,Apartment,1351,3,2,2,0,11,20,1,Semi-Furnished,North,0,0,1,1,1,6519000
Peerzadiguda,Apartment,1260,3,2,2,0,4,20,1,Semi-Furnished,West,0,0,1,1,1,6080000
Peerzadiguda,Apartment,1190,2,1,2,0,4,12,1,Semi-Furnished,South,1,0,1,1,1,5742000
Peerzadiguda,Apartment,1595,3,2,2,0,1,7,1,Semi-Furnished,East,0,0,1,1,1,7697000
Peerzadiguda,Apartment,1594,3,2,2,0,1,10,1,Semi-Furnished,North-East,1,0,1,1,1,7692000
Peerzadiguda,Apartment,1136,2,1,2,0,6,15,1,Semi-Furnished,North-East,1,0,1,1,1,5482000
Kothapet,Apartment,1475,3,2,2,4,7,12,1,Semi-Furnished,West,1,0,1,1,1,7500000
Habsiguda,Apartment,1750,3,2,2,4,4,5,1,Fully Furnished,South,1,1,1,1,1,13900000
Nanakramguda,Apartment,3010,3,2,2,0,16,24,1,Fully Furnished,East,1,1,1,1,1,28200000
Nanakramguda,Apartment,2565,3,2,2,0,12,20,1,Fully Furnished,North,1,1,1,1,1,24100000
Kukatpally,Apartment,1425,3,2,2,4,5,7,1,Fully Furnished,East,1,1,1,1,1,10900000
Kukatpally,Apartment,1300,2,1,2,4,4,10,1,Fully Furnished,East,1,1,1,1,1,10000000
Kukatpally,Apartment,1235,2,1,2,4,10,12,1,Fully Furnished,East,1,1,1,1,1,9509000
Kukatpally,Apartment,1600,3,2,2,4,5,10,1,Fully Furnished,North-West,1,1,1,1,1,12300000
Kukatpally,Apartment,1500,3,2,2,4,22,24,1,Fully Furnished,North-West,1,1,1,1,1,11500000
Kukatpally,Apartment,1200,2,1,2,4,1,5,1,Fully Furnished,North,1,1,1,1,1,9240000
Narsingi,Apartment,2020,3,2,2,0,4,10,1,Fully Furnished,North-East,1,1,1,1,1,21500000
Kondapur,Apartment,2080,3,2,2,4,13,15,1,Fully Furnished,South,1,1,1,1,1,20800000
Bachupally,Apartment,1555,3,2,2,4,3,7,1,Fully Furnished,North,1,1,1,1,1,8500000
Medchal,Villa,4620,4,3,2,4,0,2,2,Fully Furnished,East,1,1,1,1,0,55300000
Ghatkesar,Villa,1950,3,2,2,0,1,2,2,Fully Furnished,South,1,1,1,1,0,11800000
Bachupally,Apartment,1100,2,1,2,0,9,15,1,Semi-Furnished,South,1,0,1,1,1,5390000
Bachupally,Apartment,1000,2,1,2,0,8,12,1,Semi-Furnished,North,1,0,1,1,1,4900000
Mallampet,Apartment,1350,2,1,2,0,13,20,1,Semi-Furnished,South,1,0,1,1,1,7155000
Chandanagar,Apartment,3170,3,2,2,0,8,10,1,Fully Furnished,North,1,1,1,1,1,22800000
Chandanagar,Apartment,2518,3,2,2,0,1,12,1,Fully Furnished,South,1,1,1,1,1,18100000
Kukatpally,Apartment,1050,2,1,2,4,1,12,1,Semi-Furnished,North-East,0,0,1,1,1,6800000
Kukatpally,Apartment,1050,2,1,2,4,10,12,1,Semi-Furnished,West,1,0,1,1,1,7000000
Kukatpally,Apartment,1050,2,1,2,4,6,12,1,Semi-Furnished,South,1,0,1,1,1,6900000
Kukatpally,Apartment,1350,3,2,2,4,17,20,1,Semi-Furnished,West,1,0,1,1,1,7800000
Kukatpally,Apartment,1350,3,2,2,4,2,20,1,Fully Furnished,North,0,0,1,1,1,8000000
Kukatpally,Apartment,1350,3,2,2,4,3,5,1,Semi-Furnished,South,0,0,1,1,1,7800000
Kukatpally,Apartment,1350,3,2,2,4,7,10,1,Fully Furnished,East,1,0,1,1,1,8000000
Bowenpally,Apartment,1800,3,2,2,0,17,20,1,Fully Furnished,North,1,1,1,1,1,10400000
Ameenpur,Apartment,1150,2,1,2,4,5,12,1,Semi-Furnished,East,0,0,1,1,1,5820000
Bowenpally,Apartment,1640,3,2,2,0,21,24,1,Fully Furnished,North,1,1,1,1,1,9512000
Kondapur,Apartment,1290,2,1,2,4,5,12,1,Fully Furnished,West,1,1,1,1,1,15500000
Nanakramguda,Apartment,1432,3,2,2,0,10,20,1,Fully Furnished,South,1,1,1,1,1,12400000
Peerzadiguda,Apartment,1615,3,2,2,0,5,12,1,Fully Furnished,North,1,1,1,1,1,9528000
Peerzadiguda,Apartment,1500,3,2,2,0,1,12,1,Fully Furnished,East,1,1,1,1,1,8850000
Adibatla,Apartment,1161,2,1,2,0,13,24,1,Semi-Furnished,North-East,0,0,1,1,1,4992000
Ameenpur,Independent Floor,2300,2,1,2,4,1,3,0,Fully Furnished,North-East,1,1,1,1,0,16000000
Ameenpur,Apartment,1580,3,2,2,0,8,20,1,Semi-Furnished,North-West,1,0,1,1,1,7111000
Ameenpur,Apartment,1390,3,2,2,4,12,15,1,Semi-Furnished,South,0,0,1,1,1,6533000
Nanakramguda,Apartment,2664,4,3,2,0,7,10,1,Fully Furnished,South,1,1,1,1,1,20900000
Nanakramguda,Apartment,1307,2,1,2,0,2,15,1,Fully Furnished,East,1,1,1,1,1,10200000
Nanakramguda,Apartment,1382,2,1,2,0,3,12,1,Fully Furnished,West,1,1,1,1,1,10800000
Nanakramguda,Apartment,2644,4,3,2,0,1,12,1,Fully Furnished,West,1,1,1,1,1,20700000
Nanakramguda,Apartment,1424,2,1,2,0,5,12,1,Fully Furnished,South,1,1,1,1,1,11100000
Nanakramguda,Apartment,1290,2,1,2,0,3,7,1,Fully Furnished,North-East,1,1,1,1,1,10100000
Nanakramguda,Apartment,1886,3,2,2,0,7,12,1,Fully Furnished,East,1,1,1,1,1,14800000
Nanakramguda,Apartment,1487,2,1,2,0,5,15,1,Fully Furnished,North-East,1,1,1,1,1,11600000
Nanakramguda,Apartment,1364,2,1,2,0,11,15,1,Fully Furnished,South,1,1,1,1,1,10700000
Nanakramguda,Apartment,2000,3,2,2,0,6,10,1,Fully Furnished,North,1,1,1,1,1,15700000
Nanakramguda,Apartment,1273,2,1,2,0,2,15,1,Fully Furnished,East,1,1,1,1,1,10000000
Gachibowli,Apartment,798,2,1,2,0,2,12,1,Semi-Furnished,East,0,0,1,1,1,7820000
Kokapet,Apartment,2130,3,2,2,4,11,15,1,Fully Furnished,North,1,1,1,1,1,18600000
Kokapet,Apartment,1840,3,2,2,4,2,7,1,Fully Furnished,North,1,1,1,1,1,16100000
Kokapet,Apartment,1960,3,2,2,4,6,10,1,Fully Furnished,East,1,1,1,1,1,17100000
Kokapet,Apartment,2575,3,2,2,4,7,12,1,Fully Furnished,North,1,1,1,1,1,22500000
Kokapet,Apartment,1330,2,1,2,4,1,12,1,Fully Furnished,North-East,1,1,1,1,1,11600000
Kokapet,Apartment,1555,3,2,2,4,4,20,1,Fully Furnished,North-East,1,1,1,1,1,13600000
Kokapet,Apartment,1960,3,2,2,4,1,12,1,Fully Furnished,North-East,1,1,1,1,1,17100000
Kokapet,Apartment,1840,3,2,2,4,4,12,1,Fully Furnished,West,1,1,1,1,1,16100000
Kokapet,Apartment,1330,2,1,2,4,2,12,1,Fully Furnished,West,1,1,1,1,1,11600000
Kokapet,Apartment,1330,2,1,2,4,2,15,1,Fully Furnished,South,1,1,1,1,1,11600000
Kokapet,Apartment,1330,2,1,2,4,3,10,1,Fully Furnished,West,1,1,1,1,1,11600000
Kokapet,Apartment,1960,3,2,2,4,7,12,1,Fully Furnished,East,1,1,1,1,1,17100000
Kokapet,Apartment,1840,3,2,2,4,3,7,1,Fully Furnished,East,1,1,1,1,1,16100000
Kokapet,Apartment,2575,3,2,2,4,4,7,1,Fully Furnished,West,1,1,1,1,1,22500000
Kokapet,Apartment,1555,3,2,2,4,8,10,1,Fully Furnished,East,1,1,1,1,1,13600000
Kokapet,Apartment,1960,3,2,2,4,3,12,1,Fully Furnished,West,1,1,1,1,1,17100000
Kokapet,Apartment,1960,3,2,2,4,2,12,1,Fully Furnished,East,1,1,1,1,1,17100000
Kokapet,Apartment,1555,3,2,2,4,3,15,1,Fully Furnished,East,1,1,1,1,1,13600000
Kokapet,Apartment,1330,2,1,2,4,1,5,1,Fully Furnished,North,1,1,1,1,1,11600000
Gandipet,Apartment,2400,3,2,2,4,6,10,1,Fully Furnished,North,1,1,1,1,1,20400000
Gandipet,Apartment,1395,2,1,2,4,1,7,1,Fully Furnished,North,1,1,1,1,1,11800000
Gandipet,Apartment,2540,3,2,2,0,10,12,1,Fully Furnished,East,1,1,1,1,1,22800000
Bachupally,Apartment,1280,2,1,2,0,17,20,1,Semi-Furnished,East,1,0,1,1,1,6398000
Bachupally,Apartment,1655,3,2,2,0,11,12,1,Fully Furnished,North-West,1,1,1,1,1,8273000
Bachupally,Apartment,1700,3,2,2,0,1,5,1,Fully Furnished,North,1,1,1,1,1,8498000
Bachupally,Apartment,1100,2,1,2,0,6,12,1,Semi-Furnished,North-West,1,0,1,1,1,5498000
Tellapur,Apartment,1375,2,1,2,0,6,7,1,Fully Furnished,North-East,1,1,1,1,1,8662000
Tellapur,Apartment,1375,3,2,2,0,1,10,1,Fully Furnished,West,1,1,1,1,1,8662000
Tellapur,Apartment,1845,3,2,2,0,1,10,1,Fully Furnished,East,1,1,1,1,1,11600000
Tellapur,Apartment,1700,3,2,2,0,3,7,1,Fully Furnished,East,1,1,1,1,1,10700000
Tellapur,Apartment,2205,3,2,2,0,8,10,1,Fully Furnished,East,1,1,1,1,1,13800000
Narsingi,Apartment,2150,3,2,2,0,10,12,1,Fully Furnished,South,1,1,1,1,1,16100000
Narsingi,Apartment,1310,2,1,2,0,14,15,1,Fully Furnished,East,1,1,1,1,1,9825000
Narsingi,Apartment,3330,4,3,2,0,10,12,1,Fully Furnished,West,1,1,1,1,1,24900000
Narsingi,Apartment,2550,3,2,2,0,4,5,1,Fully Furnished,West,1,1,1,1,1,19100000
Narsingi,Apartment,1250,2,1,2,0,3,7,1,Fully Furnished,North-East,1,1,1,1,1,9375000
Narsingi,Apartment,2170,3,2,2,0,14,20,1,Fully Furnished,East,1,1,1,1,1,16200000
Narsingi,Apartment,2020,3,2,2,0,12,15,1,Fully Furnished,East,1,1,1,1,1,15100000
Narsingi,Apartment,1760,3,2,2,0,2,7,1,Fully Furnished,East,1,1,1,1,1,13200000
Narsingi,Apartment,2220,3,2,2,0,3,12,1,Fully Furnished,North-East,1,1,1,1,1,16600000
Narsingi,Apartment,2100,3,2,2,0,9,10,1,Fully Furnished,North,1,1,1,1,1,15700000
Narsingi,Apartment,1610,3,2,2,0,12,15,1,Fully Furnished,East,1,1,1,1,1,12000000
Panchavati Colony,Apartment,1550,3,2,2,4,1,5,1,Semi-Furnished,South,1,0,1,1,1,5500000
Habsiguda,Apartment,1350,3,2,2,4,12,20,1,Semi-Furnished,North-East,1,0,1,1,1,4500000
Panchavati Colony,Apartment,1000,2,1,2,4,4,10,1,Semi-Furnished,West,0,0,1,1,1,4500000
Kukatpally,Apartment,2300,3,2,2,0,10,12,1,Fully Furnished,South,1,1,1,1,1,19000000
Kondapur,Apartment,2080,3,2,2,0,13,15,1,Fully Furnished,East,1,1,1,1,1,20100000
Suchitra,Apartment,1220,2,1,2,4,4,12,1,Semi-Furnished,East,0,0,1,1,1,6500000
Dulapally,Apartment,1175,2,1,2,0,2,12,1,Semi-Furnished,East,1,0,1,1,1,5052000
Dulapally,Apartment,1150,2,1,2,0,8,12,1,Semi-Furnished,West,0,0,1,1,1,4945000
Dulapally,Apartment,1500,3,2,2,0,3,12,1,Semi-Furnished,South,0,0,1,1,1,6450000
Kompally,Apartment,1310,2,1,2,0,5,12,1,Semi-Furnished,North-West,1,0,1,1,1,5502000
Kompally,Apartment,1745,3,2,2,0,10,12,1,Semi-Furnished,North,0,0,1,1,1,7329000
Kompally,Apartment,1610,3,2,2,0,11,15,1,Semi-Furnished,North-East,0,0,1,1,1,6762000
Bachupally,Apartment,1510,3,2,2,0,6,12,1,Fully Furnished,North,1,1,1,1,1,8605000
Bachupally,Apartment,1616,3,2,2,0,1,15,1,Fully Furnished,East,1,1,1,1,1,9289000
Bachupally,Apartment,1258,2,1,2,0,1,5,1,Semi-Furnished,South,0,0,1,1,1,7169000
Aminpur,Apartment,1530,3,2,2,0,7,10,1,Semi-Furnished,North-West,1,0,1,1,1,7650000
Aminpur,Apartment,1300,2,1,2,0,11,12,1,Semi-Furnished,East,1,0,1,1,1,6500000
Bachupally,Apartment,1803,3,2,2,0,6,7,1,Fully Furnished,South,1,1,1,1,1,10200000
Aminpur,Apartment,1530,3,2,2,0,7,10,1,Semi-Furnished,North,1,0,1,1,1,7000000
Ramachandra Puram,Apartment,1100,2,1,2,0,3,20,1,Semi-Furnished,North,0,0,1,1,1,5650000
Aminpur,Apartment,1100,2,1,2,0,8,12,1,Semi-Furnished,West,0,0,1,1,1,5550000
Aminpur,Apartment,1250,2,1,2,0,8,15,1,Semi-Furnished,West,1,0,1,1,1,5670000
Aminpur,Apartment,1120,2,1,2,0,2,7,1,Semi-Furnished,East,0,0,1,1,1,5400000
Ramachandra Puram,Apartment,1250,2,1,2,4,11,12,1,Semi-Furnished,East,1,0,1,1,1,5470000
Aminpur,Independent House,2500,4,3,2,0,1,2,1,Fully Furnished,East,0,0,1,1,0,16000000
Ameenpur,Apartment,1505,3,2,2,0,17,20,1,Semi-Furnished,North,1,0,1,1,1,7300000
Ameenpur,Apartment,1490,3,2,2,0,6,12,1,Semi-Furnished,East,1,0,1,1,1,7020000
Aminpur,Apartment,1250,2,1,2,0,9,15,1,Semi-Furnished,North-East,1,0,1,1,1,5800000
Aminpur,Independent House,2200,4,3,2,0,1,2,1,Fully Furnished,North,0,0,1,1,0,17000000
Aminpur,Apartment,1210,2,1,2,0,10,12,1,Semi-Furnished,South,1,0,1,1,1,5700000
Peerzadiguda,Independent House,1200,4,3,2,4,0,1,1,Fully Furnished,North,0,0,1,1,0,15000000
Peerzadiguda,Independent House,740,3,2,2,4,1,2,1,Fully Furnished,North-West,1,1,1,1,0,9250000
Manikonda,Apartment,1667,3,2,2,4,6,10,1,Fully Furnished,East,1,1,1,1,1,11600000
Manikonda,Apartment,1227,2,1,2,4,4,15,1,Fully Furnished,East,1,1,1,1,1,8587000
Neknampur,Apartment,1667,3,2,2,4,1,12,1,Fully Furnished,South,1,1,1,1,1,11600000
Manchirevula,Apartment,1250,2,1,2,4,1,12,1,Fully Furnished,East,1,1,1,1,1,10000000
Manchirevula,Apartment,1250,2,1,2,4,6,15,1,Fully Furnished,East,1,1,1,1,1,10000000
Manchirevula,Apartment,1250,2,1,2,4,11,12,1,Fully Furnished,West,1,1,1,1,1,10000000
Manchirevula,Apartment,1250,2,1,2,4,13,20,1,Fully Furnished,East,1,1,1,1,1,10000000
Narsingi,Apartment,1325,2,1,2,4,1,12,1,Fully Furnished,North,1,1,1,1,1,10600000
Narsingi,Apartment,1635,3,2,2,4,8,12,1,Fully Furnished,East,1,1,1,1,1,13500000
Manikonda,Apartment,1217,2,1,2,4,2,7,1,Fully Furnished,North-East,1,1,1,1,1,8517000
Manikonda,Apartment,1321,2,1,2,4,13,24,1,Fully Furnished,South,1,1,1,1,1,9245000
Neknampur,Apartment,1321,2,1,2,4,4,15,1,Fully Furnished,South,1,1,1,1,1,9245000
Narsingi,Apartment,1325,2,1,2,4,5,10,1,Fully Furnished,North,1,1,1,1,1,10600000
Narsingi,Apartment,1635,3,2,2,4,1,5,1,Fully Furnished,North-East,1,1,1,1,1,13500000
Gachibowli,Apartment,1492,3,2,2,4,8,12,1,Fully Furnished,South,1,1,1,1,1,18000000
Bhanur,Villa,2520,4,3,2,0,1,2,2,Fully Furnished,South,1,1,1,1,0,17600000
Whitefield,Villa,3200,4,3,2,4,0,2,2,Fully Furnished,North,1,1,1,1,0,75000000
Kokapet,Apartment,4037,4,3,2,0,5,7,1,Fully Furnished,East,1,1,1,1,1,40800000
Kokapet,Apartment,3465,4,3,2,0,12,20,1,Fully Furnished,West,1,1,1,1,1,31100000
Kokapet,Apartment,3259,4,3,2,0,5,12,1,Fully Furnished,South,1,1,1,1,1,29300000
Kokapet,Apartment,3775,4,3,2,0,9,15,1,Fully Furnished,East,1,1,1,1,1,33900000
Kokapet,Apartment,2640,3,2,2,0,3,10,1,Fully Furnished,South,1,1,1,1,1,23700000
Kokapet,Apartment,2639,3,2,2,0,6,7,1,Fully Furnished,East,1,1,1,1,1,23700000
Kokapet,Apartment,3755,4,3,2,0,1,5,1,Fully Furnished,East,1,1,1,1,1,33700000
Meerpet,Apartment,1680,3,2,2,4,1,7,1,Semi-Furnished,East,1,0,1,1,1,7500000
Muthangi,Villa,2269,3,2,2,0,0,2,2,Fully Furnished,East,1,1,1,1,0,11000000
Chandanagar,Apartment,1700,3,2,2,4,3,15,1,Fully Furnished,North,1,1,1,1,1,16000000
Patancheru,Villa,3125,3,2,2,0,0,1,2,Fully Furnished,East,1,1,1,1,0,15000000
Patancheru,Apartment,1900,3,2,2,0,14,20,1,Fully Furnished,North-West,1,1,1,1,1,9688000
Patancheru,Apartment,1450,3,2,2,0,4,12,1,Semi-Furnished,North,1,0,1,1,1,7393000
Patancheru,Apartment,1750,3,2,2,0,9,10,1,Fully Furnished,East,1,1,1,1,1,8923000
Patancheru,Apartment,1655,3,2,2,0,8,15,1,Fully Furnished,South,1,1,1,1,1,8438000
Patancheru,Apartment,1300,2,1,2,0,3,12,1,Semi-Furnished,North-East,0,0,1,1,1,6628000
Bachupally,Villa,2675,4,3,2,4,0,2,2,Fully Furnished,South,1,1,1,1,0,16000000
Bachupally,Villa,1763,3,2,2,4,0,1,2,Fully Furnished,East,1,1,1,1,0,10500000
Nizampet,Apartment,1220,2,1,2,4,1,12,1,Semi-Furnished,North-East,0,0,1,1,1,6706999
Manchirevula,Apartment,1290,2,1,2,4,1,10,1,Fully Furnished,South,1,1,1,1,1,9675000
Manchirevula,Apartment,2063,3,2,2,4,2,12,1,Fully Furnished,East,1,1,1,1,1,15400000
Manchirevula,Apartment,2063,3,2,2,4,8,12,1,Fully Furnished,East,1,1,1,1,1,15400000
Manchirevula,Apartment,1290,2,1,2,4,7,10,1,Fully Furnished,East,1,1,1,1,1,9675000
Manchirevula,Apartment,1290,2,1,2,4,6,7,1,Fully Furnished,North,1,1,1,1,1,9159000
Bachupally,Apartment,1200,2,1,2,4,3,10,1,Semi-Furnished,East,0,0,1,1,1,6600000
Kukatpally,Apartment,1435,3,2,2,4,4,10,1,Semi-Furnished,West,1,0,1,1,1,7800000
Chandanagar,Apartment,1150,2,1,2,4,13,15,1,Semi-Furnished,North,1,0,1,1,1,6300000
Chandanagar,Apartment,1150,2,1,2,4,7,12,1,Semi-Furnished,North-East,0,0,1,1,1,6300000
Chandanagar,Apartment,1725,3,2,2,4,6,12,1,Fully Furnished,West,1,1,1,1,1,8975000
Chandanagar,Apartment,1725,3,2,2,4,13,15,1,Fully Furnished,East,1,1,1,1,1,8975000
Chandanagar,Apartment,1725,3,2,2,4,7,10,1,Fully Furnished,North,1,1,1,1,1,8975000
Chandanagar,Apartment,1150,2,1,2,4,4,7,1,Semi-Furnished,North,1,0,1,1,1,6300000
Chandanagar,Apartment,1150,2,1,2,4,10,12,1,Semi-Furnished,West,1,0,1,1,1,6300000
Chandanagar,Apartment,1725,3,2,2,4,10,12,1,Fully Furnished,North-East,1,1,1,1,1,8975000
Chandanagar,Apartment,1150,2,1,2,4,6,10,1,Semi-Furnished,North-East,0,0,1,1,1,6300000
Chandanagar,Apartment,1725,3,2,2,4,4,12,1,Fully Furnished,East,1,1,1,1,1,8975000
Chandanagar,Apartment,1150,2,1,2,4,4,12,1,Semi-Furnished,East,0,0,1,1,1,6300000
Chandanagar,Apartment,1725,3,2,2,4,8,12,1,Fully Furnished,North,1,1,1,1,1,8975000
Chandanagar,Apartment,1725,3,2,2,4,4,7,1,Fully Furnished,South,1,1,1,1,1,8975000
Chandanagar,Apartment,1150,2,1,2,4,2,15,1,Semi-Furnished,East,0,0,1,1,1,6300000
Chandanagar,Apartment,1150,2,1,2,4,3,5,1,Semi-Furnished,South,0,0,1,1,1,6300000
Chandanagar,Apartment,1725,3,2,2,4,4,15,1,Fully Furnished,North,1,1,1,1,1,8975000
Chandanagar,Apartment,1150,2,1,2,4,11,15,1,Semi-Furnished,East,0,0,1,1,1,6300000
Chandanagar,Apartment,1725,3,2,2,4,8,10,1,Fully Furnished,South,1,1,1,1,1,8975000
Kukatpally,Apartment,2085,3,2,2,4,8,12,1,Fully Furnished,North-West,1,1,1,1,1,13700000
Kollur,Apartment,1440,2,1,2,0,10,12,1,Fully Furnished,East,1,1,1,1,1,8500000
Tellapur,Apartment,1935,3,2,2,0,12,20,1,Fully Furnished,West,1,1,1,1,1,12000000
Kondapur,Apartment,2548,3,2,2,0,8,20,1,Fully Furnished,North-East,1,1,1,1,1,23600000
Kondapur,Apartment,2566,3,2,2,0,9,12,1,Fully Furnished,North-West,1,1,1,1,1,23800000
Kondapur,Apartment,2567,3,2,2,0,8,10,1,Fully Furnished,West,1,1,1,1,1,23800000
Kondapur,Apartment,1956,3,2,2,0,12,20,1,Fully Furnished,South,1,1,1,1,1,18100000
Kondapur,Apartment,1433,2,1,2,0,4,7,1,Fully Furnished,North,1,1,1,1,1,13300000
Kondapur,Apartment,1367,2,1,2,0,5,15,1,Fully Furnished,North,1,1,1,1,1,12700000
Kondapur,Apartment,2534,3,2,2,0,10,15,1,Fully Furnished,East,1,1,1,1,1,23500000
Kondapur,Apartment,1933,3,2,2,0,10,15,1,Fully Furnished,East,1,1,1,1,1,17900000
Kondapur,Apartment,2097,3,2,2,0,3,7,1,Fully Furnished,East,1,1,1,1,1,19500000
Kondapur,Apartment,2105,3,2,2,0,8,15,1,Fully Furnished,North,1,1,1,1,1,19500000
Kondapur,Apartment,1457,2,1,2,0,11,20,1,Fully Furnished,East,1,1,1,1,1,13500000
Kondapur,Apartment,1390,2,1,2,0,5,12,1,Fully Furnished,North-East,1,1,1,1,1,12900000
Kondapur,Apartment,1921,3,2,2,0,14,24,1,Fully Furnished,East,1,1,1,1,1,17800000
Kondapur,Apartment,2597,3,2,2,0,7,10,1,Fully Furnished,East,1,1,1,1,1,24100000
Kondapur,Apartment,1931,3,2,2,0,19,20,1,Fully Furnished,North,1,1,1,1,1,17900000
Kondapur,Apartment,2300,3,2,2,0,5,12,1,Fully Furnished,South,1,1,1,1,1,19500000
Kondapur,Apartment,1515,2,1,2,0,5,12,1,Fully Furnished,East,1,1,1,1,1,12800000
Mettuguda,Independent House,850,1,1,1,4,0,2,1,Fully Furnished,West,0,1,1,1,0,8700000
Ameerpet,Independent House,3250,5,4,2,4,1,2,1,Fully Furnished,North-West,1,1,1,1,0,26000000
Puppalaguda,Apartment,4724,3,2,2,0,1,5,1,Fully Furnished,East,1,1,1,1,1,40200000
Trimalgherry,Apartment,1995,3,2,2,4,4,7,1,Fully Furnished,West,1,1,1,1,1,11400000
Begumpet,Independent House,1377,3,2,2,4,0,2,1,Fully Furnished,North-East,1,1,1,1,0,69700000
Adibatla,Villa,2300,3,2,2,0,0,2,2,Fully Furnished,East,1,1,1,1,0,14500000
Puppalaguda,Apartment,6500,4,3,2,0,2,10,1,Fully Furnished,West,1,1,1,1,1,55300000
Puppalaguda,Apartment,4803,3,2,2,0,11,12,1,Fully Furnished,West,1,1,1,1,1,40800000
Sultanpur,Independent House,2780,3,2,2,0,0,2,1,Fully Furnished,West,1,1,1,1,0,20800000
Sultanpur,Independent House,1960,3,2,2,0,0,1,1,Fully Furnished,East,0,1,1,1,0,14700000
Kollur,Apartment,1440,2,1,2,0,3,12,1,Fully Furnished,West,1,1,1,1,1,8500000
Hafeezpet,Apartment,1250,2,1,2,0,9,10,1,Fully Furnished,West,1,1,1,1,1,10000000
Bandlaguda Jagir,Apartment,1804,3,2,2,0,6,12,1,Fully Furnished,North-East,1,1,1,1,1,14000000
Moosapet,Apartment,1425,2,1,2,0,1,5,1,Fully Furnished,North,1,1,1,1,1,10700000
Moosapet,Apartment,1660,3,2,2,0,11,12,1,Fully Furnished,East,1,1,1,1,1,13000000
Kompally,Villa,4338,3,2,2,0,1,3,2,Fully Furnished,North-West,1,1,1,1,0,53000000
